node_id,alert_text
4,设备接口eth0端口10状态 DOWN
5,设备接口eth3端口46状态 DOWN
6,与邻居节点 7 的链路延迟超过 214ms
6,入流量瞬时增长至 97% 带宽利用率
7,入流量瞬时增长至 75% 带宽利用率
7,流量负载突增，当前占用 91%
7,处理器占用率 76%，需关注性能瓶颈
8,CPU 利用率超过 89%，可能存在过载风险
8,流量负载突增，当前占用 76%
8,CPU 利用率超过 85%，可能存在过载风险
9,设备接口eth2端口11状态 DOWN
10,处理器占用率 81%，需关注性能瓶颈
10,流量负载突增，当前占用 72%
11,与邻居节点 21 的链路延迟超过 197ms
12,流量负载突增，当前占用 70%
12,接口 eth2 在端口 35 出现断开
12,检测到到节点5的往返延迟 RTT ~391ms
13,接口 eth1 在端口 48 出现断开
14,检测到到节点10的往返延迟 RTT ~417ms
14,设备接口eth2端口37状态 DOWN
15,CPU 利用率超过 82%，可能存在过载风险
15,检测到到节点22的往返延迟 RTT ~464ms
16,接口 eth1 在端口 1 出现断开
17,设备接口eth1端口1状态 DOWN
17,检测到到节点18的往返延迟 RTT ~250ms
17,接口 eth3 在端口 46 出现断开
18,RAM 占用 99%，剩余不足
18,流量负载突增，当前占用 78%
19,流量负载突增，当前占用 86%
20,设备接口eth1端口36状态 DOWN
21,设备接口eth2端口30状态 DOWN
21,与邻居节点 11 的链路延迟超过 275ms
22,处理器占用率 98%，需关注性能瓶颈
0,入流量瞬时增长至 72% 带宽利用率
0,与邻居节点 7 的链路延迟超过 370ms
0,RAM 占用 76%，剩余不足
1,内存使用率达 98%，系统将触发垃圾回收
1,流量负载突增，当前占用 80%
2,检测到到节点14的往返延迟 RTT ~216ms
3,入流量瞬时增长至 79% 带宽利用率
4,入流量瞬时增长至 93% 带宽利用率
5,流量负载突增，当前占用 94%
5,接口 eth0 在端口 31 出现断开
5,内存使用率达 89%，系统将触发垃圾回收
6,接口 eth3 在端口 29 出现断开
6,接口 eth1 在端口 1 出现断开
7,处理器占用率 73%，需关注性能瓶颈
7,流量负载突增，当前占用 89%
7,接口 eth1 在端口 40 出现断开
8,检测到到节点10的往返延迟 RTT ~482ms
8,设备接口eth0端口41状态 DOWN
8,接口 eth2 在端口 4 出现断开
9,检测到到节点10的往返延迟 RTT ~334ms
10,处理器占用率 100%，需关注性能瓶颈
10,与邻居节点 8 的链路延迟超过 420ms
11,接口 eth0 在端口 46 出现断开
12,检测到到节点10的往返延迟 RTT ~275ms
13,设备接口eth0端口37状态 DOWN
13,设备接口eth2端口46状态 DOWN
13,检测到到节点22的往返延迟 RTT ~179ms
14,与邻居节点 4 的链路延迟超过 172ms
14,入流量瞬时增长至 80% 带宽利用率
14,与邻居节点 4 的链路延迟超过 126ms
15,CPU 利用率超过 94%，可能存在过载风险
15,检测到到节点16的往返延迟 RTT ~394ms
16,检测到到节点7的往返延迟 RTT ~436ms
17,检测到到节点18的往返延迟 RTT ~130ms
18,设备接口eth3端口12状态 DOWN
19,处理器占用率 75%，需关注性能瓶颈
19,接口 eth3 在端口 33 出现断开
20,接口 eth0 在端口 43 出现断开
20,设备接口eth0端口31状态 DOWN
20,设备接口eth0端口36状态 DOWN
21,接口 eth2 在端口 22 出现断开
22,入流量瞬时增长至 99% 带宽利用率
22,与邻居节点 13 的链路延迟超过 289ms
0,入流量瞬时增长至 74% 带宽利用率
0,检测到到节点3的往返延迟 RTT ~462ms
1,检测到到节点6的往返延迟 RTT ~413ms
1,流量负载突增，当前占用 85%
2,检测到到节点3的往返延迟 RTT ~498ms
2,检测到到节点23的往返延迟 RTT ~418ms
3,入流量瞬时增长至 89% 带宽利用率
3,处理器占用率 91%，需关注性能瓶颈
4,检测到到节点6的往返延迟 RTT ~418ms
5,入流量瞬时增长至 87% 带宽利用率
5,接口 eth1 在端口 12 出现断开
5,流量负载突增，当前占用 89%
6,CPU 利用率超过 80%，可能存在过载风险
6,检测到到节点7的往返延迟 RTT ~115ms
7,设备接口eth0端口48状态 DOWN
7,CPU 利用率超过 77%，可能存在过载风险
8,设备接口eth1端口36状态 DOWN
8,检测到到节点9的往返延迟 RTT ~293ms
9,入流量瞬时增长至 99% 带宽利用率
10,流量负载突增，当前占用 98%
11,接口 eth0 在端口 23 出现断开
12,RAM 占用 93%，剩余不足
12,检测到到节点10的往返延迟 RTT ~448ms
13,接口 eth0 在端口 3 出现断开
13,入流量瞬时增长至 85% 带宽利用率
14,接口 eth2 在端口 3 出现断开
14,内存使用率达 76%，系统将触发垃圾回收
14,接口 eth1 在端口 17 出现断开
15,设备接口eth1端口28状态 DOWN
16,设备接口eth1端口19状态 DOWN
16,检测到到节点15的往返延迟 RTT ~385ms
17,处理器占用率 92%，需关注性能瓶颈
17,接口 eth1 在端口 16 出现断开
18,设备接口eth2端口25状态 DOWN
18,入流量瞬时增长至 72% 带宽利用率
19,处理器占用率 97%，需关注性能瓶颈
19,入流量瞬时增长至 89% 带宽利用率
20,接口 eth2 在端口 18 出现断开
21,处理器占用率 86%，需关注性能瓶颈
21,检测到到节点19的往返延迟 RTT ~278ms
22,接口 eth2 在端口 8 出现断开
23,检测到到节点2的往返延迟 RTT ~368ms
24,设备接口eth1端口26状态 DOWN
24,CPU 利用率超过 92%，可能存在过载风险
24,检测到到节点23的往返延迟 RTT ~493ms
0,检测到到节点7的往返延迟 RTT ~109ms
0,CPU 利用率超过 76%，可能存在过载风险
0,CPU 利用率超过 83%，可能存在过载风险
1,接口 eth3 在端口 25 出现断开
2,流量负载突增，当前占用 96%
2,CPU 利用率超过 81%，可能存在过载风险
2,入流量瞬时增长至 95% 带宽利用率
3,检测到到节点2的往返延迟 RTT ~302ms
4,检测到到节点2的往返延迟 RTT ~128ms
4,接口 eth2 在端口 38 出现断开
4,与邻居节点 2 的链路延迟超过 138ms
5,检测到到节点6的往返延迟 RTT ~428ms
6,流量负载突增，当前占用 90%
6,流量负载突增，当前占用 96%
6,内存使用率达 100%，系统将触发垃圾回收
7,CPU 利用率超过 74%，可能存在过载风险
7,处理器占用率 98%，需关注性能瓶颈
7,检测到到节点2的往返延迟 RTT ~462ms
8,检测到到节点2的往返延迟 RTT ~162ms
8,设备接口eth3端口36状态 DOWN
9,设备接口eth0端口31状态 DOWN
9,流量负载突增，当前占用 97%
9,CPU 利用率超过 75%，可能存在过载风险
0,流量负载突增，当前占用 100%
0,接口 eth2 在端口 24 出现断开
1,流量负载突增，当前占用 75%
1,流量负载突增，当前占用 71%
1,内存使用率达 76%，系统将触发垃圾回收
2,内存使用率达 98%，系统将触发垃圾回收
3,接口 eth1 在端口 21 出现断开
4,流量负载突增，当前占用 89%
4,RAM 占用 90%，剩余不足
5,与邻居节点 8 的链路延迟超过 294ms
5,检测到到节点8的往返延迟 RTT ~357ms
5,接口 eth0 在端口 23 出现断开
6,接口 eth1 在端口 32 出现断开
6,RAM 占用 84%，剩余不足
6,检测到到节点14的往返延迟 RTT ~381ms
7,CPU 利用率超过 84%，可能存在过载风险
8,入流量瞬时增长至 98% 带宽利用率
8,流量负载突增，当前占用 98%
9,设备接口eth3端口43状态 DOWN
9,入流量瞬时增长至 93% 带宽利用率
9,流量负载突增，当前占用 75%
10,设备接口eth1端口44状态 DOWN
11,接口 eth1 在端口 21 出现断开
11,入流量瞬时增长至 92% 带宽利用率
11,检测到到节点7的往返延迟 RTT ~134ms
12,入流量瞬时增长至 88% 带宽利用率
12,设备接口eth2端口28状态 DOWN
12,与邻居节点 13 的链路延迟超过 206ms
13,检测到到节点14的往返延迟 RTT ~351ms
14,检测到到节点1的往返延迟 RTT ~208ms
14,流量负载突增，当前占用 70%
14,流量负载突增，当前占用 91%
15,检测到到节点14的往返延迟 RTT ~240ms
0,接口 eth1 在端口 1 出现断开
0,检测到到节点5的往返延迟 RTT ~453ms
1,检测到到节点12的往返延迟 RTT ~431ms
2,与邻居节点 16 的链路延迟超过 229ms
2,设备接口eth3端口39状态 DOWN
2,设备接口eth1端口4状态 DOWN
3,接口 eth2 在端口 4 出现断开
4,入流量瞬时增长至 99% 带宽利用率
4,检测到到节点7的往返延迟 RTT ~223ms
5,CPU 利用率超过 71%，可能存在过载风险
5,设备接口eth1端口10状态 DOWN
5,RAM 占用 99%，剩余不足
6,与邻居节点 5 的链路延迟超过 421ms
6,流量负载突增，当前占用 84%
6,接口 eth3 在端口 12 出现断开
7,设备接口eth1端口33状态 DOWN
7,流量负载突增，当前占用 100%
7,处理器占用率 82%，需关注性能瓶颈
8,RAM 占用 73%，剩余不足
8,CPU 利用率超过 73%，可能存在过载风险
8,设备接口eth2端口9状态 DOWN
9,检测到到节点12的往返延迟 RTT ~432ms
9,RAM 占用 83%，剩余不足
10,设备接口eth3端口6状态 DOWN
10,CPU 利用率超过 86%，可能存在过载风险
11,设备接口eth2端口29状态 DOWN
11,接口 eth1 在端口 28 出现断开
11,接口 eth2 在端口 19 出现断开
12,流量负载突增，当前占用 95%
13,接口 eth3 在端口 17 出现断开
14,接口 eth0 在端口 40 出现断开
14,接口 eth2 在端口 24 出现断开
14,内存使用率达 88%，系统将触发垃圾回收
15,处理器占用率 91%，需关注性能瓶颈
16,内存使用率达 92%，系统将触发垃圾回收
16,与邻居节点 15 的链路延迟超过 254ms
16,接口 eth2 在端口 18 出现断开
17,设备接口eth2端口8状态 DOWN
17,设备接口eth0端口26状态 DOWN
17,与邻居节点 9 的链路延迟超过 436ms
18,与邻居节点 9 的链路延迟超过 279ms
18,检测到到节点9的往返延迟 RTT ~142ms
18,接口 eth0 在端口 26 出现断开
19,与邻居节点 9 的链路延迟超过 271ms
19,接口 eth3 在端口 10 出现断开
20,检测到到节点12的往返延迟 RTT ~409ms
20,检测到到节点10的往返延迟 RTT ~180ms
21,设备接口eth1端口29状态 DOWN
21,入流量瞬时增长至 91% 带宽利用率
21,设备接口eth3端口46状态 DOWN
22,内存使用率达 96%，系统将触发垃圾回收
23,检测到到节点22的往返延迟 RTT ~313ms
23,接口 eth2 在端口 21 出现断开
23,设备接口eth1端口7状态 DOWN
24,与邻居节点 8 的链路延迟超过 216ms
0,与邻居节点 3 的链路延迟超过 223ms
0,入流量瞬时增长至 75% 带宽利用率
1,CPU 利用率超过 97%，可能存在过载风险
1,设备接口eth3端口11状态 DOWN
1,设备接口eth3端口12状态 DOWN
2,处理器占用率 81%，需关注性能瓶颈
2,处理器占用率 77%，需关注性能瓶颈
3,检测到到节点2的往返延迟 RTT ~432ms
4,检测到到节点6的往返延迟 RTT ~431ms
4,检测到到节点6的往返延迟 RTT ~325ms
5,内存使用率达 82%，系统将触发垃圾回收
5,设备接口eth0端口1状态 DOWN
5,设备接口eth2端口15状态 DOWN
6,CPU 利用率超过 73%，可能存在过载风险
6,接口 eth0 在端口 30 出现断开
6,与邻居节点 1 的链路延迟超过 478ms
7,接口 eth2 在端口 48 出现断开
7,检测到到节点8的往返延迟 RTT ~210ms
7,入流量瞬时增长至 77% 带宽利用率
8,设备接口eth3端口20状态 DOWN
8,入流量瞬时增长至 98% 带宽利用率
8,与邻居节点 13 的链路延迟超过 187ms
9,入流量瞬时增长至 80% 带宽利用率
10,处理器占用率 74%，需关注性能瓶颈
11,接口 eth3 在端口 13 出现断开
11,设备接口eth3端口21状态 DOWN
12,入流量瞬时增长至 94% 带宽利用率
12,流量负载突增，当前占用 87%
12,处理器占用率 93%，需关注性能瓶颈
13,入流量瞬时增长至 97% 带宽利用率
13,与邻居节点 8 的链路延迟超过 128ms
13,入流量瞬时增长至 73% 带宽利用率
14,流量负载突增，当前占用 88%
14,流量负载突增，当前占用 78%
14,流量负载突增，当前占用 70%
15,检测到到节点14的往返延迟 RTT ~404ms
16,处理器占用率 93%，需关注性能瓶颈
16,接口 eth2 在端口 20 出现断开
16,接口 eth2 在端口 46 出现断开
17,检测到到节点8的往返延迟 RTT ~246ms
0,与邻居节点 22 的链路延迟超过 225ms
1,接口 eth3 在端口 45 出现断开
2,接口 eth2 在端口 47 出现断开
3,与邻居节点 22 的链路延迟超过 193ms
4,与邻居节点 7 的链路延迟超过 154ms
5,CPU 利用率超过 99%，可能存在过载风险
5,检测到到节点8的往返延迟 RTT ~411ms
6,流量负载突增，当前占用 83%
6,与邻居节点 7 的链路延迟超过 210ms
7,入流量瞬时增长至 89% 带宽利用率
8,接口 eth1 在端口 24 出现断开
8,接口 eth3 在端口 2 出现断开
8,接口 eth0 在端口 27 出现断开
9,接口 eth1 在端口 1 出现断开
10,接口 eth3 在端口 48 出现断开
11,与邻居节点 22 的链路延迟超过 326ms
11,检测到到节点22的往返延迟 RTT ~248ms
12,接口 eth0 在端口 44 出现断开
12,与邻居节点 8 的链路延迟超过 492ms
12,检测到到节点8的往返延迟 RTT ~173ms
13,接口 eth3 在端口 48 出现断开
13,设备接口eth0端口22状态 DOWN
14,流量负载突增，当前占用 97%
14,设备接口eth0端口16状态 DOWN
14,RAM 占用 95%，剩余不足
15,检测到到节点8的往返延迟 RTT ~399ms
15,与邻居节点 8 的链路延迟超过 139ms
15,接口 eth3 在端口 33 出现断开
16,流量负载突增，当前占用 74%
16,处理器占用率 76%，需关注性能瓶颈
17,检测到到节点22的往返延迟 RTT ~474ms
17,接口 eth3 在端口 40 出现断开
17,接口 eth2 在端口 25 出现断开
18,设备接口eth2端口23状态 DOWN
18,接口 eth1 在端口 17 出现断开
19,入流量瞬时增长至 90% 带宽利用率
19,入流量瞬时增长至 93% 带宽利用率
19,设备接口eth2端口48状态 DOWN
20,接口 eth0 在端口 26 出现断开
20,设备接口eth1端口42状态 DOWN
20,接口 eth1 在端口 39 出现断开
21,设备接口eth1端口28状态 DOWN
21,检测到到节点22的往返延迟 RTT ~101ms
21,检测到到节点22的往返延迟 RTT ~308ms
22,入流量瞬时增长至 99% 带宽利用率
22,内存使用率达 77%，系统将触发垃圾回收
22,入流量瞬时增长至 84% 带宽利用率
23,设备接口eth3端口40状态 DOWN
24,设备接口eth2端口21状态 DOWN
24,检测到到节点25的往返延迟 RTT ~113ms
24,检测到到节点27的往返延迟 RTT ~343ms
25,接口 eth1 在端口 7 出现断开
25,RAM 占用 81%，剩余不足
25,流量负载突增，当前占用 88%
26,与邻居节点 24 的链路延迟超过 218ms
26,检测到到节点24的往返延迟 RTT ~443ms
26,与邻居节点 24 的链路延迟超过 235ms
27,检测到到节点24的往返延迟 RTT ~424ms
27,设备接口eth2端口37状态 DOWN
28,接口 eth2 在端口 40 出现断开
29,与邻居节点 24 的链路延迟超过 372ms
29,检测到到节点24的往返延迟 RTT ~333ms
0,接口 eth2 在端口 37 出现断开
0,设备接口eth0端口43状态 DOWN
0,设备接口eth2端口48状态 DOWN
1,入流量瞬时增长至 83% 带宽利用率
1,CPU 利用率超过 88%，可能存在过载风险
2,与邻居节点 3 的链路延迟超过 159ms
3,接口 eth2 在端口 48 出现断开
3,流量负载突增，当前占用 75%
3,与邻居节点 30 的链路延迟超过 276ms
4,处理器占用率 77%，需关注性能瓶颈
4,检测到到节点7的往返延迟 RTT ~490ms
4,流量负载突增，当前占用 70%
5,接口 eth0 在端口 44 出现断开
6,与邻居节点 1 的链路延迟超过 411ms
6,流量负载突增，当前占用 81%
7,检测到到节点30的往返延迟 RTT ~402ms
7,内存使用率达 88%，系统将触发垃圾回收
8,设备接口eth2端口2状态 DOWN
8,接口 eth3 在端口 46 出现断开
9,检测到到节点7的往返延迟 RTT ~492ms
10,接口 eth0 在端口 24 出现断开
11,检测到到节点12的往返延迟 RTT ~369ms
11,接口 eth0 在端口 4 出现断开
11,检测到到节点12的往返延迟 RTT ~307ms
12,入流量瞬时增长至 92% 带宽利用率
12,流量负载突增，当前占用 79%
12,接口 eth3 在端口 24 出现断开
13,RAM 占用 74%，剩余不足
14,设备接口eth2端口37状态 DOWN
14,流量负载突增，当前占用 98%
15,设备接口eth0端口17状态 DOWN
15,检测到到节点4的往返延迟 RTT ~173ms
16,检测到到节点14的往返延迟 RTT ~253ms
16,检测到到节点14的往返延迟 RTT ~355ms
16,与邻居节点 14 的链路延迟超过 339ms
17,内存使用率达 71%，系统将触发垃圾回收
18,设备接口eth0端口12状态 DOWN
18,与邻居节点 7 的链路延迟超过 155ms
19,CPU 利用率超过 73%，可能存在过载风险
19,设备接口eth3端口14状态 DOWN
20,检测到到节点7的往返延迟 RTT ~274ms
21,设备接口eth0端口8状态 DOWN
21,检测到到节点2的往返延迟 RTT ~345ms
22,检测到到节点10的往返延迟 RTT ~233ms
22,与邻居节点 10 的链路延迟超过 313ms
22,流量负载突增，当前占用 88%
23,与邻居节点 22 的链路延迟超过 236ms
23,设备接口eth2端口17状态 DOWN
24,接口 eth1 在端口 30 出现断开
25,CPU 利用率超过 96%，可能存在过载风险
26,设备接口eth1端口33状态 DOWN
27,内存使用率达 93%，系统将触发垃圾回收
28,检测到到节点29的往返延迟 RTT ~238ms
28,检测到到节点27的往返延迟 RTT ~477ms
29,流量负载突增，当前占用 99%
30,接口 eth1 在端口 5 出现断开
30,检测到到节点7的往返延迟 RTT ~407ms
30,RAM 占用 72%，剩余不足
31,检测到到节点2的往返延迟 RTT ~465ms
31,设备接口eth0端口39状态 DOWN
32,与邻居节点 25 的链路延迟超过 276ms
32,内存使用率达 97%，系统将触发垃圾回收
32,接口 eth0 在端口 28 出现断开
33,与邻居节点 32 的链路延迟超过 491ms
33,设备接口eth2端口35状态 DOWN
0,处理器占用率 89%，需关注性能瓶颈
0,接口 eth0 在端口 39 出现断开
0,检测到到节点3的往返延迟 RTT ~214ms
1,入流量瞬时增长至 91% 带宽利用率
2,入流量瞬时增长至 83% 带宽利用率
2,接口 eth0 在端口 14 出现断开
3,处理器占用率 100%，需关注性能瓶颈
0,检测到到节点8的往返延迟 RTT ~239ms
0,入流量瞬时增长至 86% 带宽利用率
0,与邻居节点 8 的链路延迟超过 112ms
1,CPU 利用率超过 77%，可能存在过载风险
1,接口 eth1 在端口 21 出现断开
2,设备接口eth2端口2状态 DOWN
3,检测到到节点2的往返延迟 RTT ~225ms
3,入流量瞬时增长至 99% 带宽利用率
4,流量负载突增，当前占用 95%
5,接口 eth1 在端口 39 出现断开
5,检测到到节点4的往返延迟 RTT ~484ms
6,CPU 利用率超过 90%，可能存在过载风险
6,设备接口eth2端口47状态 DOWN
6,接口 eth3 在端口 17 出现断开
7,设备接口eth3端口23状态 DOWN
8,CPU 利用率超过 70%，可能存在过载风险
8,接口 eth0 在端口 6 出现断开
8,处理器占用率 84%，需关注性能瓶颈
0,与邻居节点 3 的链路延迟超过 368ms
1,入流量瞬时增长至 72% 带宽利用率
1,与邻居节点 8 的链路延迟超过 244ms
1,流量负载突增，当前占用 85%
2,入流量瞬时增长至 77% 带宽利用率
2,流量负载突增，当前占用 95%
2,与邻居节点 9 的链路延迟超过 231ms
3,接口 eth0 在端口 7 出现断开
3,设备接口eth1端口47状态 DOWN
3,接口 eth2 在端口 34 出现断开
4,设备接口eth0端口6状态 DOWN
4,RAM 占用 87%，剩余不足
5,检测到到节点13的往返延迟 RTT ~280ms
6,设备接口eth1端口14状态 DOWN
6,与邻居节点 2 的链路延迟超过 166ms
6,内存使用率达 92%，系统将触发垃圾回收
7,接口 eth2 在端口 11 出现断开
7,入流量瞬时增长至 70% 带宽利用率
8,与邻居节点 17 的链路延迟超过 345ms
8,接口 eth0 在端口 23 出现断开
8,与邻居节点 1 的链路延迟超过 271ms
9,设备接口eth1端口21状态 DOWN
9,检测到到节点7的往返延迟 RTT ~188ms
9,设备接口eth1端口34状态 DOWN
10,与邻居节点 5 的链路延迟超过 206ms
11,检测到到节点12的往返延迟 RTT ~152ms
11,设备接口eth1端口1状态 DOWN
11,检测到到节点12的往返延迟 RTT ~139ms
12,设备接口eth0端口27状态 DOWN
12,入流量瞬时增长至 81% 带宽利用率
13,设备接口eth3端口35状态 DOWN
13,内存使用率达 98%，系统将触发垃圾回收
13,接口 eth2 在端口 26 出现断开
14,与邻居节点 9 的链路延迟超过 106ms
14,处理器占用率 90%，需关注性能瓶颈
14,接口 eth2 在端口 34 出现断开
15,处理器占用率 87%，需关注性能瓶颈
15,与邻居节点 16 的链路延迟超过 127ms
16,流量负载突增，当前占用 70%
16,设备接口eth2端口10状态 DOWN
16,检测到到节点15的往返延迟 RTT ~156ms
17,检测到到节点0的往返延迟 RTT ~265ms
0,接口 eth0 在端口 3 出现断开
1,与邻居节点 2 的链路延迟超过 271ms
1,接口 eth0 在端口 25 出现断开
1,检测到到节点2的往返延迟 RTT ~280ms
2,检测到到节点1的往返延迟 RTT ~201ms
2,检测到到节点1的往返延迟 RTT ~174ms
2,RAM 占用 81%，剩余不足
3,CPU 利用率超过 82%，可能存在过载风险
3,入流量瞬时增长至 99% 带宽利用率
4,与邻居节点 7 的链路延迟超过 180ms
5,设备接口eth0端口3状态 DOWN
5,接口 eth1 在端口 23 出现断开
5,设备接口eth0端口19状态 DOWN
6,检测到到节点24的往返延迟 RTT ~275ms
6,检测到到节点15的往返延迟 RTT ~446ms
7,设备接口eth3端口43状态 DOWN
7,接口 eth2 在端口 32 出现断开
7,检测到到节点4的往返延迟 RTT ~288ms
8,与邻居节点 15 的链路延迟超过 142ms
8,设备接口eth0端口5状态 DOWN
9,设备接口eth1端口8状态 DOWN
9,接口 eth2 在端口 8 出现断开
10,设备接口eth0端口21状态 DOWN
10,检测到到节点3的往返延迟 RTT ~258ms
11,与邻居节点 17 的链路延迟超过 455ms
11,接口 eth1 在端口 8 出现断开
11,CPU 利用率超过 100%，可能存在过载风险
12,内存使用率达 100%，系统将触发垃圾回收
12,接口 eth1 在端口 36 出现断开
13,检测到到节点20的往返延迟 RTT ~495ms
14,检测到到节点21的往返延迟 RTT ~350ms
14,设备接口eth3端口25状态 DOWN
15,与邻居节点 6 的链路延迟超过 175ms
15,接口 eth3 在端口 18 出现断开
15,设备接口eth0端口19状态 DOWN
16,与邻居节点 7 的链路延迟超过 144ms
16,检测到到节点15的往返延迟 RTT ~104ms
16,与邻居节点 7 的链路延迟超过 276ms
17,与邻居节点 9 的链路延迟超过 416ms
17,入流量瞬时增长至 81% 带宽利用率
18,接口 eth2 在端口 20 出现断开
19,与邻居节点 12 的链路延迟超过 472ms
19,设备接口eth2端口9状态 DOWN
20,流量负载突增，当前占用 99%
21,接口 eth0 在端口 5 出现断开
22,与邻居节点 11 的链路延迟超过 484ms
22,与邻居节点 21 的链路延迟超过 360ms
23,流量负载突增，当前占用 98%
23,处理器占用率 81%，需关注性能瓶颈
24,设备接口eth1端口11状态 DOWN
24,入流量瞬时增长至 78% 带宽利用率
0,与邻居节点 26 的链路延迟超过 494ms
1,设备接口eth0端口36状态 DOWN
2,与邻居节点 3 的链路延迟超过 376ms
2,设备接口eth1端口25状态 DOWN
2,与邻居节点 17 的链路延迟超过 212ms
3,接口 eth3 在端口 22 出现断开
3,设备接口eth1端口7状态 DOWN
4,CPU 利用率超过 80%，可能存在过载风险
4,设备接口eth1端口36状态 DOWN
5,设备接口eth0端口46状态 DOWN
5,流量负载突增，当前占用 74%
5,内存使用率达 87%，系统将触发垃圾回收
6,与邻居节点 28 的链路延迟超过 351ms
7,接口 eth0 在端口 25 出现断开
7,接口 eth3 在端口 20 出现断开
7,接口 eth2 在端口 19 出现断开
8,检测到到节点13的往返延迟 RTT ~222ms
9,CPU 利用率超过 82%，可能存在过载风险
10,设备接口eth2端口33状态 DOWN
10,CPU 利用率超过 77%，可能存在过载风险
10,设备接口eth1端口13状态 DOWN
11,接口 eth2 在端口 41 出现断开
12,检测到到节点21的往返延迟 RTT ~310ms
12,CPU 利用率超过 76%，可能存在过载风险
13,处理器占用率 99%，需关注性能瓶颈
13,入流量瞬时增长至 98% 带宽利用率
14,入流量瞬时增长至 92% 带宽利用率
15,入流量瞬时增长至 94% 带宽利用率
16,设备接口eth0端口43状态 DOWN
17,检测到到节点2的往返延迟 RTT ~234ms
17,接口 eth1 在端口 27 出现断开
18,与邻居节点 25 的链路延迟超过 343ms
18,设备接口eth3端口1状态 DOWN
19,流量负载突增，当前占用 85%
20,检测到到节点19的往返延迟 RTT ~478ms
20,设备接口eth1端口8状态 DOWN
21,设备接口eth3端口25状态 DOWN
21,与邻居节点 22 的链路延迟超过 116ms
21,检测到到节点22的往返延迟 RTT ~410ms
22,入流量瞬时增长至 86% 带宽利用率
23,内存使用率达 75%，系统将触发垃圾回收
23,与邻居节点 18 的链路延迟超过 179ms
24,接口 eth2 在端口 47 出现断开
24,与邻居节点 14 的链路延迟超过 414ms
24,与邻居节点 14 的链路延迟超过 432ms
25,RAM 占用 79%，剩余不足
25,检测到到节点15的往返延迟 RTT ~455ms
25,RAM 占用 78%，剩余不足
26,接口 eth3 在端口 39 出现断开
26,流量负载突增，当前占用 70%
27,接口 eth0 在端口 28 出现断开
27,与邻居节点 11 的链路延迟超过 434ms
